id;operation;admin0Name;admin0Pcode;admin1Name;admin1Pcode;admin2Name;admin2Pcode;numPresentIdpInd;reportingDate;yearReportingDate;monthReportingDate;roundNumber;assessmentType
393779;Armed Clashes in Sudan (Overview);Sudan;SDN;Kassala;SD11;Madeinat Kassala;SD11053;39365;2023-08-31T00:00:00;2023;8;1;BA
393789;Armed Clashes in Sudan (Overview);Sudan;SDN;Kassala;SD11;Reifi Aroma;SD11055;690;2023-08-31T00:00:00;2023;8;1;BA
393538;Armed Clashes in Sudan (Overview);Sudan;SDN;North Darfur;SD02;Al Fasher;SD02114;555749;2023-08-31T00:00:00;2023;8;1;BA
393548;Armed Clashes in Sudan (Overview);Sudan;SDN;North Darfur;SD02;Al Koma;SD02116;1750;2023-08-31T00:00:00;2023;8;1;BA
393558;Armed Clashes in Sudan (Overview);Sudan;SDN;North Darfur;SD02;Al Lait;SD02169;10152;2023-08-31T00:00:00;2023;8;1;BA
393816;Armed Clashes in Sudan (Overview);Sudan;SDN;Kassala;SD11;Reifi Kassla;SD11056;2545;2023-08-31T00:00:00;2023;8;1;BA
393826;Armed Clashes in Sudan (Overview);Sudan;SDN;Kassala;SD11;Reifi Khashm Elgirba;SD11060;7729;2023-08-31T00:00:00;2023;8;1;BA
393836;Armed Clashes in Sudan (Overview);Sudan;SDN;Kassala;SD11;Reifi Nahr Atbara;SD11062;2391;2023-08-31T00:00:00;2023;8;1;BA
393846;Armed Clashes in Sudan (Overview);Sudan;SDN;Kassala;SD11;Reifi Shamal Ad Delta;SD11057;3415;2023-08-31T00:00:00;2023;8;1;BA
393856;Armed Clashes in Sudan (Overview);Sudan;SDN;Kassala;SD11;Reifi Telkok;SD11059;1855;2023-08-31T00:00:00;2023;8;1;BA
393866;Armed Clashes in Sudan (Overview);Sudan;SDN;Khartoum;SD01;Bahri;SD01003;4450;2023-08-31T00:00:00;2023;8;1;BA
393876;Armed Clashes in Sudan (Overview);Sudan;SDN;Khartoum;SD01;Jebel Awlia;SD01001;7380;2023-08-31T00:00:00;2023;8;1;BA
393886;Armed Clashes in Sudan (Overview);Sudan;SDN;Khartoum;SD01;Karrari;SD01005;9365;2023-08-31T00:00:00;2023;8;1;BA
393896;Armed Clashes in Sudan (Overview);Sudan;SDN;Khartoum;SD01;Khartoum;SD01007;3205;2023-08-31T00:00:00;2023;8;1;BA
