Location name;Source;Data date;Column1;Population
White Nile;UNHCR, COR;21.11.2024;77.5%;204,726
Red Sea;UNHCR, COR;21.11.2024;7.4%;19,526
Gedaref;UNHCR, COR;21.11.2024;4.0%;10,566
North Darfur;UNHCR, COR;21.11.2024;1.9%;5,102
Aj Jazirah;UNHCR, COR;21.11.2024;1.6%;4,226
Kassala;UNHCR, COR;21.11.2024;1.5%;4,026
Northern;UNHCR, COR;21.11.2024;1.5%;3,96
North Kordofan;UNHCR, COR;21.11.2024;1.5%;3,854
East Darfur;UNHCR, COR;21.11.2024;1.2%;3,287
West Kordofan;UNHCR, COR;21.11.2024;1.1%;2,834
South Kordofan;UNHCR, COR;21.11.2024;0.5%;1,253
South Darfur;UNHCR, COR;21.11.2024;0.3%;749
